Date (TU),Discharge
2022-04-19T11:00:00.000Z,31.7
2022-04-19T12:00:00.000Z,37.8
2022-04-19T13:00:00.000Z,39.8
2022-04-19T14:00:00.000Z,38.9
2022-04-19T15:00:00.000Z,37.6
2022-04-19T16:00:00.000Z,37.2
2022-04-19T17:00:00.000Z,34.9
2022-04-19T18:00:00.000Z,33.8
2022-04-19T19:00:00.000Z,33.8
2022-04-19T20:00:00.000Z,33.8
2022-04-19T21:00:00.000Z,33.8
2022-04-19T22:00:00.000Z,33.8
2022-04-19T23:00:00.000Z,33.8
2022-04-20T00:00:00.000Z,33.8
2022-04-20T01:00:00.000Z,33.8
2022-04-20T02:00:00.000Z,33.8
2022-04-20T03:00:00.000Z,33.5
2022-04-20T04:00:00.000Z,33.4
2022-04-20T05:00:00.000Z,35.6
2022-04-20T06:00:00.000Z,34.2
2022-04-20T07:00:00.000Z,33.4
2022-04-20T08:00:00.000Z,34.5
2022-04-20T09:00:00.000Z,35.2
2022-04-20T10:00:00.000Z,35.7
2022-04-20T11:00:00.000Z,36
2022-04-20T12:00:00.000Z,35.7
2022-04-20T13:00:00.000Z,35.5
2022-04-20T14:00:00.000Z,35.2
2022-04-20T15:00:00.000Z,34.9
2022-04-20T16:00:00.000Z,35
2022-04-20T17:00:00.000Z,35.3
2022-04-20T18:00:00.000Z,34.1
2022-04-20T19:00:00.000Z,33.3
2022-04-20T20:00:00.000Z,33.3
2022-04-20T21:00:00.000Z,33.4
2022-04-20T22:00:00.000Z,33.5
2022-04-20T23:00:00.000Z,33.6
2022-04-21T00:00:00.000Z,33.6
2022-04-21T01:00:00.000Z,33.7
2022-04-21T02:00:00.000Z,33.8
2022-04-21T03:00:00.000Z,33.7
2022-04-21T04:00:00.000Z,33.5
2022-04-21T05:00:00.000Z,33.4
2022-04-21T06:00:00.000Z,33.2
2022-04-21T07:00:00.000Z,33.5
2022-04-21T08:00:00.000Z,34.4
2022-04-21T09:00:00.000Z,34.8
2022-04-21T10:00:00.000Z,35
2022-04-21T11:00:00.000Z,35.3
2022-04-21T12:00:00.000Z,35.5
2022-04-21T13:00:00.000Z,35.7
2022-04-21T14:00:00.000Z,35.5
2022-04-21T15:00:00.000Z,34.5
2022-04-21T16:00:00.000Z,33
2022-04-21T17:00:00.000Z,32.4
2022-04-21T18:00:00.000Z,32.3
2022-04-21T19:00:00.000Z,32.4
2022-04-21T20:00:00.000Z,32.6
2022-04-21T21:00:00.000Z,32.8
2022-04-21T22:00:00.000Z,32.9
2022-04-21T23:00:00.000Z,32.9
2022-04-22T00:00:00.000Z,32.8
2022-04-22T01:00:00.000Z,32.8
2022-04-22T02:00:00.000Z,32.8
2022-04-22T03:00:00.000Z,32.7
2022-04-22T04:00:00.000Z,32.7
2022-04-22T05:00:00.000Z,32.7
2022-04-22T06:00:00.000Z,32.6
2022-04-22T07:00:00.000Z,32.9
2022-04-22T08:00:00.000Z,33.7
2022-04-22T09:00:00.000Z,34.6
2022-04-22T10:00:00.000Z,34.8
2022-04-22T11:00:00.000Z,34.8
2022-04-22T12:00:00.000Z,34.8
2022-04-22T13:00:00.000Z,35
2022-04-22T14:00:00.000Z,35.4
2022-04-22T15:00:00.000Z,33.9
2022-04-22T16:00:00.000Z,32.9
2022-04-22T17:00:00.000Z,32.7
2022-04-22T18:00:00.000Z,32.7
2022-04-22T19:00:00.000Z,32.7
2022-04-22T20:00:00.000Z,32.7
2022-04-22T21:00:00.000Z,32.7
2022-04-22T22:00:00.000Z,32.7
2022-04-22T23:00:00.000Z,32.7
2022-04-23T00:00:00.000Z,32.7
2022-04-23T01:00:00.000Z,32.7
2022-04-23T02:00:00.000Z,32.7
2022-04-23T03:00:00.000Z,32.7
2022-04-23T04:00:00.000Z,32.7
2022-04-23T05:00:00.000Z,32.7
2022-04-23T06:00:00.000Z,32.7
2022-04-23T07:00:00.000Z,32.7
2022-04-23T08:00:00.000Z,32.6
2022-04-23T09:00:00.000Z,32.6
2022-04-23T10:00:00.000Z,32.6
2022-04-23T11:00:00.000Z,32.6
2022-04-23T12:00:00.000Z,32.6
2022-04-23T13:00:00.000Z,32.6
2022-04-23T14:00:00.000Z,32.6
2022-04-23T15:00:00.000Z,32.6
2022-04-23T16:00:00.000Z,32.6
2022-04-23T17:00:00.000Z,33.1
2022-04-23T18:00:00.000Z,33.7
2022-04-23T19:00:00.000Z,34.3
2022-04-23T20:00:00.000Z,34.3
2022-04-23T21:00:00.000Z,34
2022-04-23T22:00:00.000Z,33.7
2022-04-23T23:00:00.000Z,33.4
2022-04-24T00:00:00.000Z,33.2
2022-04-24T01:00:00.000Z,33
2022-04-24T02:00:00.000Z,33
2022-04-24T03:00:00.000Z,32.9
2022-04-24T04:00:00.000Z,32.9
2022-04-24T05:00:00.000Z,32.9
2022-04-24T06:00:00.000Z,32.9
2022-04-24T07:00:00.000Z,32.8
2022-04-24T08:00:00.000Z,32.8
2022-04-24T09:00:00.000Z,32.8
2022-04-24T10:00:00.000Z,32.7
2022-04-24T11:00:00.000Z,32.7
2022-04-24T12:00:00.000Z,32.7
2022-04-24T13:00:00.000Z,32.6
2022-04-24T14:00:00.000Z,32.6
2022-04-24T15:00:00.000Z,32.6
2022-04-24T16:00:00.000Z,32.6
2022-04-24T17:00:00.000Z,32.5
2022-04-24T18:00:00.000Z,32.6
2022-04-24T19:00:00.000Z,32.6
2022-04-24T20:00:00.000Z,32.7
2022-04-24T21:00:00.000Z,32.8
2022-04-24T22:00:00.000Z,32.9
2022-04-24T23:00:00.000Z,33
2022-04-25T00:00:00.000Z,33.1
2022-04-25T01:00:00.000Z,33.2
2022-04-25T02:00:00.000Z,33.3
2022-04-25T03:00:00.000Z,32.8
2022-04-25T04:00:00.000Z,33.1
2022-04-25T05:00:00.000Z,34.8
2022-04-25T06:00:00.000Z,33.8
2022-04-25T07:00:00.000Z,33.1
2022-04-25T08:00:00.000Z,33.6
2022-04-25T09:00:00.000Z,34.2
2022-04-25T10:00:00.000Z,33.9
2022-04-25T11:00:00.000Z,31.9
2022-04-25T12:00:00.000Z,30.1
2022-04-25T13:00:00.000Z,29.5
2022-04-25T14:00:00.000Z,29.9
2022-04-25T15:00:00.000Z,30.3
2022-04-25T16:00:00.000Z,31.1
2022-04-25T17:00:00.000Z,37.6
2022-04-25T18:00:00.000Z,61.3
2022-04-25T19:00:00.000Z,82.9
2022-04-25T20:00:00.000Z,83.4
2022-04-25T21:00:00.000Z,84.1
2022-04-25T22:00:00.000Z,94.7
2022-04-25T23:00:00.000Z,99.4
2022-04-26T00:00:00.000Z,100
2022-04-26T01:00:00.000Z,119
2022-04-26T02:00:00.000Z,124
2022-04-26T03:00:00.000Z,124
2022-04-26T04:00:00.000Z,122
2022-04-26T05:00:00.000Z,122
2022-04-26T06:00:00.000Z,120
2022-04-26T07:00:00.000Z,107
2022-04-26T08:00:00.000Z,102
2022-04-26T09:00:00.000Z,103
2022-04-26T10:00:00.000Z,103
2022-04-26T11:00:00.000Z,103
2022-04-26T12:00:00.000Z,103
2022-04-26T13:00:00.000Z,103
2022-04-26T14:00:00.000Z,103
2022-04-26T15:00:00.000Z,103
2022-04-26T16:00:00.000Z,103
2022-04-26T17:00:00.000Z,103
2022-04-26T18:00:00.000Z,102
2022-04-26T19:00:00.000Z,103
2022-04-26T20:00:00.000Z,105
2022-04-26T21:00:00.000Z,104
2022-04-26T22:00:00.000Z,103
2022-04-26T23:00:00.000Z,103
2022-04-27T00:00:00.000Z,103
2022-04-27T01:00:00.000Z,103
2022-04-27T02:00:00.000Z,102
2022-04-27T03:00:00.000Z,97.6
2022-04-27T04:00:00.000Z,88.5
2022-04-27T05:00:00.000Z,72.3
2022-04-27T06:00:00.000Z,66.8
2022-04-27T07:00:00.000Z,64
2022-04-27T08:00:00.000Z,56
2022-04-27T09:00:00.000Z,55.2
2022-04-27T10:00:00.000Z,55.8
2022-04-27T11:00:00.000Z,56.4
2022-04-27T12:00:00.000Z,56.6
2022-04-27T13:00:00.000Z,55.8
2022-04-27T14:00:00.000Z,54.9
2022-04-27T15:00:00.000Z,53.2
2022-04-27T16:00:00.000Z,55.1
2022-04-27T17:00:00.000Z,68.8
2022-04-27T18:00:00.000Z,80.7
2022-04-27T19:00:00.000Z,82.9
2022-04-27T20:00:00.000Z,82.1
2022-04-27T21:00:00.000Z,81.7
2022-04-27T22:00:00.000Z,82
2022-04-27T23:00:00.000Z,81.5
2022-04-28T00:00:00.000Z,74.4
2022-04-28T01:00:00.000Z,66.6
